Time (days),Cover Temperature (C),Internal Air Temperature (C),Vegetation Temperature (C),Growing Medium Temperature (C),Tray Temperature (C),Floor Temperature (C),Soil Layer 1 Temperature (C),Soil Layer 2 Temperature (C),Soil Layer 3 Temperature (C),Soil Layer 4 Temperature (C),Vegetation Mean Temperature (C),Vegetation Temperature Sum (C),Water Vapour Density (kg/m^3),CO2 Density (kg/m^3),Carbohydrate in Buffer (kg/m^2),Carbohydrate in Fruit (kg/m^2),Carbohydrate in Leaf (kg/m^2),Carbohydrate in Stem (kg/m^2),Relative Growth Rate of Fruit (1/s),Relative Growth Rate of Leaf (1/s),Relative Growth Rate of Stem (1/s)
0.0279398148148148,9.265156839179156,10.709397533270362,11.215761424556716,11.388322372443213,11.585385192686545,11.891171641483083,11.95474622495675,11.998466592180192,11.981728152671394,11.008236023675977,285.1445724500654,0.3298421005822596,0.0091293993789444,0.0007658507860185,0.0098344156109981,0.0010011559752542,0.0100681030508624,0.0100542817461717,4.824614252827951e-07,2.792704661265087e-06,2.2286231600232137e-06
0.0279513888888888,9.2650410434872,10.709163440990151,11.215305335944777,11.38798009998044,11.585114016827788,11.89109637942522,11.954688672472969,11.998461474023545,11.981720827109823,11.008239407609892,285.1445634337014,0.3299719102874773,0.0091292890966441,0.0007658522142599,0.0098343472405896,0.0010011564582776,0.0100681311672297,0.0100543041531896,4.824624384198722e-07,2.792679224755377e-06,2.2286045662187166e-06
0.0279629629629629,9.264925263759494,10.708929411301767,11.21484940308693,11.387637879794797,11.58484290280495,11.891021120819689,11.95463111279895,11.998456350579543,11.98171350167587,11.008242791521011,285.1445544121636,0.330101714714102,0.0091291788449558,0.000765853641455,0.0098342788705817,0.0010011569413023,0.0100681592834107,0.01005432656007,4.824634494806673e-07,2.792653777450045e-06,2.228585964794926e-06
0.027974537037037,9.26480949947188,10.70869544368776,11.214393625982268,11.38729571191783,11.58457185062889,11.89094586565534,11.954573545955384,11.998451221847745,11.981706176369414,11.008246175409454,285.1445453854536,0.3302315138639121,0.0091290686241086,0.0007658550676041,0.0098342105009746,0.0010011574243281,0.0100681873994053,0.0100543489668127,4.824644584662629e-07,2.7926283193473518e-06,2.228567355754711e-06
0.0279861111111111,9.264693750100264,10.7084615376304,11.213938004629938,11.386953596381147,11.584300860310409,11.890870613921097,11.954515971962962,11.998446087827745,11.981698851190345,11.008249559275214,285.1445363535734,0.3303613077386857,0.0091289584343318,0.0007658564927073,0.0098341421317685,0.0010011579073553,0.0100682155152135,0.0100543713734177,4.824654653777417e-07,2.792602850445557e-06,2.2285487391009407e-06
0.0279976851851851,9.264578015120437,10.708227692612128,11.21348253902903,11.38661153321624,11.584029931860243,11.890795365605868,11.954458390842376,11.99844094851909,11.981691526138547,11.008252943118237,285.1445273165249,0.3304910963402013,0.0091288482758547,0.0007658579167651,0.0098340737629637,0.0010011583903836,0.0100682436308352,0.010054393779885,4.824664702161858e-07,2.792577370742924e-06,2.228530114836484e-06
0.0280092592592592,9.264462294008354,10.70799390811544,11.21302722917875,11.386269522454768,11.583759065289255,11.890720120698576,11.95440080261426,11.998435803921211,11.981684201213966,11.00825632693858,285.1445182743098,0.3306208796702369,0.0091287381489066,0.0007658593397776,0.0098340053945604,0.0010011588734131,0.0100682717462702,0.0100544161862144,4.824674729826783e-07,2.7925518802377123e-06,2.228511482964209e-06
0.0280208333333333,9.264346586239869,10.70776018362261,11.212572075078183,11.385927564128224,11.583488260608192,11.890644879188072,11.954343207299305,11.998430654033768,11.98167687641643,11.008259710736183,285.1445092269301,0.3307506577305709,0.0091286280537166,0.0007658607617452,0.0098339370265589,0.0010011593564439,0.0100682998615184,0.0100544385924059,4.824684736783014e-07,2.792526378928183e-06,2.2284928434869862e-06
0.0280324074074074,9.264230891290763,10.707526518616136,11.212117076726486,11.385585658268212,11.583217517827848,11.89056964106328,11.95428560491814,11.99842549885625,11.981669551745824,11.008263094511053,285.1445001743876,0.3308804305229815,0.0091285179905142,0.0007658621826682,0.0098338686589596,0.0010011598394759,0.0100683279765798,0.0100544609984593,4.824694723041376e-07,2.7925008668125984e-06,2.228474196407684e-06
0.0280439814814814,9.264115208637008,10.707292912578396,11.211662234122798,11.38524380490628,11.582946836959138,11.890494406313168,11.954227995491522,11.9984203383882,11.98166222720215,11.008266478263238,285.144491116684,0.331010198049247,0.0091284079595284,0.0007658636025468,0.0098338002917625,0.0010011603225091,0.0100683560914542,0.0100544834043746,4.824704688612696e-07,2.7924753438892185e-06,2.2284555417291703e-06
